,atom_stereo_count,bond_stereo_count,charge,complexity,covalent_unit_count,defined_atom_stereo_count,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,isotope_atom_count,molecular_weight,monoisotopic_mass,rotatable_bond_count,tpsa,xlogp
1,1.0,0.0,0.0,408.0,1.0,0.0,220.132,3.0,2.0,16.0,0.0,220.276,220.132,2.0,70.7,0.1
2,1.0,0.0,0.0,639.0,1.0,1.0,423.146,5.0,1.0,30.0,0.0,423.901,423.146,5.0,81.4,2.9
3,1.0,0.0,0.0,396.0,1.0,1.0,340.155,4.0,2.0,23.0,0.0,340.848,340.155,6.0,61.8,3.1
4,0.0,0.0,0.0,599.0,1.0,0.0,439.223,7.0,2.0,33.0,0.0,439.527,439.223,8.0,112.0,4.5
5,15.0,0.0,0.0,1830.0,5.0,14.0,1139.085,29.0,9.0,70.0,0.0,1140.01,1139.085,22.0,527.0,
6,0.0,0.0,0.0,249.0,1.0,0.0,245.931,3.0,1.0,14.0,0.0,247.089,245.931,1.0,65.5,4.1
7,1.0,0.0,0.0,248.0,1.0,1.0,249.195,5.0,2.0,18.0,0.0,249.362,249.195,5.0,67.1,1.8
8,0.0,0.0,0.0,525.0,1.0,0.0,393.169,7.0,1.0,29.0,0.0,393.443,393.169,11.0,74.7,3.3
9,1.0,0.0,0.0,382.0,1.0,1.0,359.294,3.0,2.0,26.0,0.0,359.558,359.294,11.0,68.0,4.7
10,0.0,0.0,0.0,290.0,1.0,0.0,207.028,5.0,1.0,15.0,0.0,207.145,207.028,1.0,100.0,1.8
11,1.0,0.0,0.0,713.0,1.0,0.0,519.186,5.0,0.0,35.0,0.0,520.47,519.186,7.0,36.0,4.3
12,0.0,0.0,0.0,518.0,1.0,0.0,344.044,7.0,2.0,23.0,0.0,344.308,344.044,4.0,97.6,1.6
13,0.0,0.0,0.0,403.0,1.0,0.0,284.072,2.0,0.0,20.0,0.0,284.743,284.072,1.0,32.7,3.0
14,0.0,0.0,0.0,236.0,1.0,0.0,228.079,3.0,0.0,17.0,0.0,228.247,228.079,4.0,35.5,2.4
15,22.0,0.0,0.0,5220.0,1.0,22.0,2448.975,40.0,32.0,168.0,0.0,2449.833,2447.972,45.0,1040.0,-5.0
16,0.0,0.0,0.0,423.0,1.0,0.0,342.115,7.0,1.0,24.0,0.0,342.417,342.115,3.0,102.0,2.3
17,0.0,0.0,0.0,556.0,3.0,0.0,523.008,4.0,3.0,31.0,0.0,523.664,521.011,4.0,63.0,
18,1.0,0.0,0.0,596.0,1.0,0.0,393.278,3.0,1.0,29.0,0.0,393.575,393.278,7.0,44.7,5.4
19,2.0,0.0,0.0,985.0,1.0,2.0,561.285,7.0,1.0,42.0,0.0,561.69,561.285,8.0,99.6,5.4
20,14.0,0.0,0.0,4040.0,1.0,14.0,1894.861,27.0,25.0,133.0,0.0,1896.177,1894.861,54.0,722.0,-6.0
21,8.0,0.0,0.0,1950.0,1.0,7.0,990.508,10.0,9.0,72.0,0.0,991.164,990.508,13.0,323.0,1.0
22,0.0,0.0,0.0,218.0,1.0,0.0,207.106,3.0,1.0,15.0,0.0,207.248,207.106,2.0,29.1,1.7
23,2.0,0.0,0.0,976.0,1.0,0.0,548.168,10.0,5.0,40.0,0.0,548.544,548.168,6.0,155.0,5.0
24,1.0,0.0,0.0,391.0,1.0,0.0,340.999,5.0,3.0,20.0,0.0,342.109,340.999,5.0,98.1,0.5
25,0.0,0.0,0.0,645.0,1.0,0.0,494.256,6.0,3.0,35.0,0.0,495.068,494.256,10.0,72.5,3.9
26,3.0,0.0,0.0,1030.0,1.0,3.0,582.176,11.0,0.0,40.0,0.0,582.595,582.176,4.0,124.0,4.3
27,1.0,0.0,0.0,475.0,1.0,0.0,314.094,6.0,3.0,21.0,0.0,314.356,314.094,6.0,135.0,1.1
28,9.0,0.0,0.0,449.0,1.0,9.0,306.256,2.0,2.0,22.0,0.0,306.49,306.256,0.0,40.5,4.4
29,0.0,0.0,0.0,681.0,1.0,0.0,400.191,5.0,0.0,29.0,0.0,400.454,400.191,5.0,73.3,1.8
30,0.0,0.0,0.0,603.0,1.0,0.0,458.911,6.0,2.0,25.0,0.0,460.745,458.911,5.0,140.0,3.6
31,0.0,0.0,0.0,532.0,1.0,0.0,392.185,6.0,0.0,29.0,0.0,392.459,392.185,5.0,67.8,3.2
32,4.0,0.0,0.0,2420.0,1.0,4.0,1115.346,18.0,12.0,78.0,0.0,1116.106,1115.346,28.0,439.0,0.5
33,1.0,0.0,0.0,191.0,1.0,0.0,251.189,3.0,2.0,18.0,0.0,251.37,251.189,9.0,41.5,2.1
34,1.0,0.0,0.0,528.0,1.0,0.0,414.217,6.0,2.0,31.0,0.0,414.513,414.217,8.0,90.8,4.1
35,36.0,0.0,0.0,10200.0,1.0,36.0,4261.245,61.0,55.0,301.0,0.0,4261.955,4259.238,135.0,1670.0,-9.3
36,1.0,0.0,0.0,421.0,1.0,0.0,282.173,2.0,0.0,21.0,0.0,282.387,282.173,3.0,23.6,2.1
37,0.0,0.0,0.0,667.0,1.0,0.0,431.086,7.0,3.0,29.0,0.0,431.521,431.086,6.0,137.0,4.5
38,1.0,0.0,0.0,886.0,1.0,1.0,527.137,8.0,1.0,35.0,0.0,527.991,527.137,6.0,85.8,4.8
39,1.0,0.0,0.0,886.0,1.0,1.0,527.137,8.0,1.0,35.0,0.0,527.991,527.137,6.0,85.8,4.8
40,1.0,0.0,0.0,886.0,1.0,0.0,527.137,8.0,1.0,35.0,0.0,527.991,527.137,6.0,85.8,4.8
41,0.0,0.0,0.0,479.0,1.0,0.0,351.104,4.0,3.0,25.0,0.0,351.424,351.104,4.0,113.0,2.6
42,1.0,0.0,0.0,394.0,1.0,1.0,323.109,4.0,2.0,23.0,0.0,323.414,323.109,4.0,96.2,3.3
43,0.0,0.0,0.0,564.0,1.0,0.0,451.156,7.0,3.0,30.0,0.0,451.974,451.156,8.0,143.0,4.8
44,0.0,0.0,0.0,845.0,1.0,0.0,663.52,7.0,3.0,48.0,0.0,663.996,663.52,27.0,107.0,4.9
45,0.0,0.0,0.0,616.0,2.0,0.0,479.184,8.0,3.0,34.0,0.0,479.969,479.184,9.0,121.0,
46,1.0,0.0,0.0,202.0,2.0,0.0,323.029,3.0,3.0,17.0,0.0,324.643,323.029,5.0,41.5,
47,1.0,0.0,0.0,323.0,1.0,1.0,323.063,2.0,2.0,19.0,0.0,324.222,323.063,2.0,44.4,2.2
48,5.0,0.0,0.0,1310.0,1.0,5.0,781.437,10.0,7.0,56.0,0.0,781.952,781.437,21.0,231.0,2.9
49,14.0,0.0,0.0,4090.0,1.0,14.0,1903.933,28.0,26.0,136.0,0.0,1905.108,1903.933,59.0,792.0,-9.7
50,0.0,0.0,0.0,709.0,1.0,0.0,512.251,9.0,2.0,37.0,0.0,512.581,512.251,9.0,87.4,3.7
51,0.0,0.0,0.0,576.0,1.0,0.0,434.152,8.0,2.0,31.0,0.0,434.518,434.152,9.0,136.0,4.9
52,4.0,0.0,0.0,363.0,1.0,1.0,287.211,5.0,2.0,21.0,0.0,287.411,287.211,4.0,53.1,1.8
53,4.0,0.0,0.0,363.0,1.0,1.0,287.211,5.0,2.0,21.0,0.0,287.411,287.211,4.0,53.1,1.8
54,1.0,0.0,0.0,962.0,1.0,0.0,483.146,7.0,1.0,34.0,0.0,483.539,483.146,6.0,123.0,3.3
55,0.0,0.0,0.0,477.0,1.0,0.0,356.141,6.0,1.0,24.0,0.0,356.437,356.141,8.0,93.3,1.0
56,28.0,0.0,0.0,6400.0,1.0,28.0,2884.707,39.0,47.0,204.0,0.0,2885.468,2883.704,105.0,1270.0,-7.9
57,2.0,0.0,0.0,494.0,1.0,0.0,348.169,6.0,1.0,25.0,0.0,348.399,348.169,3.0,71.5,1.2
58,0.0,0.0,0.0,659.0,1.0,0.0,441.191,6.0,2.0,33.0,0.0,441.495,441.191,8.0,115.0,3.9
59,0.0,0.0,0.0,521.0,1.0,0.0,440.03,7.0,3.0,27.0,0.0,441.233,440.03,6.0,88.4,3.1
60,0.0,0.0,0.0,295.0,1.0,0.0,339.095,3.0,1.0,20.0,0.0,340.265,339.095,7.0,45.2,2.4
61,0.0,0.0,0.0,521.0,1.0,0.0,410.268,5.0,1.0,30.0,0.0,410.562,410.268,8.0,48.0,4.2
62,1.0,0.0,0.0,2100.0,1.0,0.0,1235.812,17.0,7.0,88.0,0.0,1236.616,1235.812,46.0,366.0,-0.3
63,59.0,0.0,0.0,14500.0,1.0,45.0,4963.098,118.0,44.0,331.0,0.0,4964.593,4962.095,105.0,2240.0,-37.1
64,8.0,0.0,0.0,1790.0,1.0,8.0,1073.619,13.0,9.0,75.0,0.0,1074.39,1073.619,32.0,307.0,3.2
65,5.0,0.0,0.0,747.0,1.0,5.0,519.134,6.0,2.0,33.0,0.0,520.384,519.134,8.0,96.3,2.9
66,1.0,0.0,0.0,407.0,1.0,0.0,286.051,3.0,2.0,20.0,0.0,286.715,286.051,1.0,61.7,2.2
67,3.0,1.0,0.0,772.0,1.0,3.0,505.297,6.0,3.0,35.0,0.0,505.718,505.297,12.0,124.0,2.1
68,1.0,0.0,0.0,479.0,1.0,0.0,349.143,6.0,1.0,26.0,0.0,349.39,349.143,4.0,65.5,3.5
69,8.0,1.0,0.0,3100.0,1.0,8.0,1406.549,21.0,12.0,100.0,0.0,1407.517,1406.549,15.0,488.0,0.4
70,0.0,2.0,0.0,413.0,3.0,0.0,507.993,6.0,2.0,28.0,0.0,508.214,505.995,6.0,72.9,7.164
71,5.0,0.0,0.0,1340.0,1.0,5.0,819.397,8.0,6.0,58.0,0.0,820.425,819.397,22.0,192.0,7.2
72,0.0,0.0,0.0,644.0,1.0,0.0,427.176,6.0,1.0,32.0,0.0,427.468,427.176,7.0,104.0,3.4
73,2.0,0.0,0.0,323.0,1.0,2.0,277.19,6.0,3.0,20.0,0.0,277.372,277.19,3.0,87.3,0.8
74,3.0,0.0,0.0,395.0,2.0,0.0,338.14,4.0,3.0,23.0,0.0,338.832,338.14,6.0,73.6,
